089-9611 volume_exit (#/hr),089-9611 speed_exit (mph),135-6285 volume_entrance (#/hr),135-6285 speed_entrance (mph),135-6287 volume_exit (#/hr),135-6287 speed_exit (mph),135-9528 volume_exit (#/hr),135-9528 speed_exit (mph),time (hr)
454,80.5,3917,73.4,3967,71,399,69,0
288,77.9,2691,71.5,2709,70.8,266,68.7,1
239,76.4,2096,71.9,2130,69.7,227,68.6,2
258,78.3,2362,70.9,2395,70,375,69.3,3
549,80.7,3765,74.1,3992,71.4,779,70.6,4
1384,79.8,8766,74.3,9265,71.3,1995,67.3,5
2611,70.4,15607,69.9,15998,66,2635,64.6,6
2983,68.8,18342,60.3,18596,63.4,2432,64.1,7
2723,69.1,18120,55.8,18269,62.9,2154,66.1,8
2548,73.7,16793,66.3,16712,63,2150,65.8,9
2431,73.1,16478,67,16535,63,2135,65.5,10
2436,73.2,16731,65.5,16881,66.1,2107,65.9,11
2398,75,17180,65.5,17271,66.2,2174,65.6,12
2447,71.8,17064,60.4,17247,66.1,2005,65.4,13
1689,77,18106,66.7,18284,66,2139,65.5,14
1377,79.9,18128,62,18386,62.2,1993,65.9,15
2047,77.4,17479,55.6,18426,56.1,2015,66.3,16
2335,76.7,17411,56.4,18428,56.3,2064,66,17
2224,78.2,16690,58.5,17382,58.4,1805,66.6,18
1625,81.9,14417,69.4,14592,67.8,1586,67,19
1550,73,12582,69.2,12809,67.3,1422,65.7,20
1272,76.1,9797,70.4,9659,62,1020,67.9,21
868,79,7260,69,7584,65.7,703,68.2,22
579,79.1,5276,72.3,5430,69.9,503,68.6,23
