135-6285 volume_entrance (#/hr),135-6285 speed_entrance (mph),135-6287 volume_exit (#/hr),135-6287 speed_exit (mph),time (hr)
4174,73.2,4236,70.8,0
2780,72.2,2788,70.2,1
2238,70.6,2178,69.2,2
2310,71.4,2365,69.4,3
3887,73.7,4081,70.5,4
8661,74,9210,71.2,5
15641,68.1,16059,65,6
16326,55.7,17604,58.4,7
15326,52,14876,47.6,8
16009,52.3,15927,57,9
16389,53.8,16381,63.5,10
16433,64.9,16693,66.6,11
16059,58.9,16682,66,12
17381,58.8,17474,63.8,13
17515,60,17665,61.5,14
16089,51.6,16568,51,15
16729,52.8,17824,51.1,16
17781,57.3,19174,56.6,17
16603,58.7,17543,55,18
14596,69,15005,67.9,19
12123,69.4,12364,67.3,20
9156,71.5,9435,68.9,21
7139,71.7,7187,69.8,22
5486,72.1,5641,69.9,23
